INDICATIVO;AÑO;MES;ALTITUD;C_X;C_Y;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31
8018;2023;7;63;701604;4235880;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8018A;2023;7;95;701719;4238104;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;-3;0;0;0;0;0;0;0;0;0;0
8018B;2023;7;85;700275;4237482;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8018C;2023;7;54;708762;4237542;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;-3;-3;-3;0;0;0;0;0;0;0;0;0
8018X;2023;7;110;702856;4240261;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8019;2023;7;43;712468;4239983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;-3;0;0;0;0;0;0;0;0;0
8019A;2023;7;0;712741;4230520;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8021A;2023;7;306;706079;4256846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8022;2023;7;325;711593;4259365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;0;0;0;0;0;0;0;0;0;0;0
8023;2023;7;115;714974;4252698;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0
8023E;2023;7;91;717395;4251159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;0;0
8025;2023;7;81;718904;4250120;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0
8028F;2023;7;687;708825;4265061;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0
8029A;2023;7;484;717248;4269141;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0
